GeoVector_ID,ZipCode,WKT
-1147458643,94531,"POLYGON ((-154070.444385475 -1230.6939634019509, -156652.51359769815 -548.90277222730219, -156465.91470036734 -1251.2232427289709, -156885.35203719072 -1620.2411972759292, -156511.46983783948 -2161.4272154448554, -156701.90094723855 -2843.861108109355, -156348.95836281954 -3550.4230735050514, -156652.72691075152 -3838.5724627440795, -156142.10216893995 -3847.6191263552755, -156191.4286060757 -4142.5598642611876, -157658.57388563518 -3470.8835340077057, -158344.61511716479 -2509.64724124223, -158394.38047805487 -3915.6588073875755, -159886.17408758678 -4135.0606995793059, -160053.03994561615 -5327.6714935395867, -158417.06640196603 -5438.5993606550619, -158439.57164565127 -6661.7836665734649, -158159.55050597648 -7054.264801424928, -155654.13843186351 -7061.2661799741909, -155700.25570940541 -6284.3227365855128, -155385.50294212092 -6768.9757168916985, -154358.67382215176 -6141.3219070183113, -153616.00767380503 -6444.81932770554, -153593.38514721624 -4725.4154557371512, -152010.97045462165 -4694.1128187784925, -151995.06697497366 -3900.7623954797164, -152778.1851755614 -3888.7480564042926, -152755.59314026876 -2487.002530018799, -154070.444385475 -1230.6939634019509))"
-1147458642,95679,"POLYGON ((-207592.60932056504 96872.841332222335, -206770.03899464948 95543.447131439112, -205610.28807882895 94644.432566600852, -203763.87355840817 93609.454327376559, -203305.25222565129 94005.811996331438, -202483.21770587971 94435.259558476508, -201993.87445225118 94300.470216060989, -201488.1417873216 94720.339190239087, -200753.48043307249 93948.08864764031, -199674.80525253341 94247.356809935533, -199582.45667267288 93935.5788005665, -198380.36313370889 93941.942834175192, -195571.98875058754 97056.434914946556, -193499.15168513358 97631.186822305433, -193206.02596923325 98055.222363417968, -194069.80312653334 99355.268376881257, -193867.52999229167 100319.42377952579, -194466.52459866332 101127.18706331309, -195202.28396435993 101228.91863577068, -195858.02096782796 103234.8725824682, -208190.53660273529 103675.12114918139, -209827.605329805 101004.01234131772, -209275.70109542183 100568.31577199604, -208467.81461299217 98631.829842057079, -207245.76228356041 97360.860237150453, -207592.60932056504 96872.841332222335))"
-1147458641,94569,"POLYGON ((-192928.89115865546 6382.6003538034856, -192519.02446875357 5920.0770654054359, -193335.83364307162 5563.9818487707525, -193378.08122867151 3564.0937651498243, -192743.6052410047 3237.3346610264853, -192034.64485183923 2135.6447229394689, -190917.71318072145 2049.4199656033888, -190933.963972635 2307.8790504476056, -192389.38060871969 4416.7023579478264, -191817.43368530026 5066.7625788589939, -191084.2068028276 4492.3291694130749, -190501.29130379538 4337.0571721140295, -191396.97399238258 5823.3162949988618, -192928.89115865546 6382.6003538034856))"
-1147458640,94707,"POLYGON ((-200523.05812650541 -12515.404599495232, -200391.39394994522 -12677.700805659406, -199860.27953809415 -12231.994442562573, -199021.60992895375 -12104.414620826952, -199247.90816537497 -10481.392945000902, -199526.55061712855 -10082.630707356147, -200023.8517045569 -10165.657733498141, -200265.71068272175 -8609.0590539723635, -200398.29815341398 -8444.0723276231438, -200950.28415271814 -8915.0335160437971, -200803.30796926847 -9411.750141479075, -201172.73516900686 -10037.442967117764, -200908.288435302 -10588.040212159976, -200884.04467898572 -11530.816988509148, -200434.50966311397 -11508.960674703121, -200297.908869447 -12137.298853298649, -200523.05812650541 -12515.404599495232))"
-1147458639,95465,"POLYGON ((-261493.91586089772 52280.084273693152, -262822.18475320935 52319.013884760439, -262916.56530890131 50608.375515410677, -263649.24441965623 51092.055031659082, -264499.42092964746 51104.326885482296, -264957.11183449236 52232.957520171069, -265803.45687180653 52518.0640543988, -265702.51796764729 52958.245423286222, -266000.12005426642 52464.114187252708, -267915.75914503157 51559.970036354847, -269813.90506090474 52497.4978417512, -270444.60566973506 51023.314056469128, -270284.25349521392 50658.488989096135, -270554.36155365576 50607.270292524248, -271523.34613052581 52562.521579598077, -272807.11265247309 52966.847855051979, -272471.65130751062 51859.907123376615, -272691.0909129096 51543.492068398744, -272298.357829799 51620.9610697208, -272186.6440794564 50494.828903902322, -271741.38477567857 50303.329922590405, -271565.38282249484 49507.980223799124, -271074.16483613494 49361.610745929182, -270540.49733938189 48640.423447236419, -270165.57121653121 48805.111075332388, -270438.55731534294 48521.082912051119, -269673.43746349716 46486.312324765138, -269183.84267353948 46079.96801739838, -268852.11409731855 46338.995037889108, -268494.49944493192 45697.305140367709, -267885.04826455039 45950.580815669149, -267037.01218070148 45379.49849056825, -267303.5378919816 44787.409385084175, -267900.224092877 44598.627673813142, -267325.37868226384 44211.770078299567, -267402.04912070447 43436.371046422981, -267046.31475158373 43439.890163269825, -266992.84007632057 43833.219127897173, -265507.66842408793 44001.609615176916, -265702.52410169446 46150.408181669191, -264525.49898671854 47296.810129435733, -264284.28038698935 46355.299070478417, -264568.31429880677 45828.085754521191, -264153.28009034047 45379.946925041266, -263755.68730416539 42864.488176770508, -262117.62204791847 41901.41427863948, -261845.74455241929 42217.00469709374, -261544.2686614542 41610.889309315942, -261300.0988019142 41937.160819949582, -260367.59333916713 41789.52783145383, -260091.942234443 41685.763640467077, -260068.01474103774 42635.47891829256, -258807.56307842964 42673.678593955934, -258608.97023949018 43250.132520834915, -258719.09242991536 42353.385251852684, -258409.46652073535 42339.367638198659, -257690.63062992686 43800.45833013393, -257286.20862404624 44031.873698272742, -255659.3908562079 43380.070527778938, -255678.26651408957 42653.747244060971, -254330.0717360806 42608.72852142714, -254045.24326568368 43348.229862974025, -255219.20372143609 43976.82424267102, -255007.69752511667 44253.675584619865, -255800.34299528904 44515.938851820305, -255688.78455771488 45489.628324308433, -257045.69707624897 47105.857153733261, -257590.09875149053 49240.800762722269, -258247.70051130105 50040.616039562039, -259054.96965342923 50444.577717061155, -259783.55847623016 51828.075138056651, -260866.87658678804 51530.565529946238, -261493.91586089772 52280.084273693152))"
-1147458638,95053,"POLYGON ((-171718.30478548247 -72706.85839621257, -171043.80262858595 -72867.40843219962, -170984.70833929104 -72399.411692606285, -171362.62006702335 -72101.502961856313, -171761.74204204942 -72235.654016371816, -171718.30478548247 -72706.85839621257))"
-1147458637,95023,"POLYGON ((-131411.94611449348 -98817.253146525472, -130223.3105960047 -101797.86798723415, -130470.98766574568 -102043.94104925729, -130188.52021414627 -102446.85932575166, -130443.63402577753 -102770.63680553809, -130223.7227785633 -103476.85614397749, -129117.95445678743 -103982.9260028936, -127942.89160913485 -105021.39884433709, -126183.48201921392 -107085.55408153683, -124403.25471485346 -106212.14468551427, -124177.27502042148 -106999.32244790345, -123791.66892321542 -106593.90398079157, -122607.31003390078 -106788.7685620226, -121022.75438245069 -109753.93559673987, -120766.41619112225 -111421.76646872796, -121850.29616775028 -112416.65385559574, -124397.41333257958 -112409.44524923339, -124430.01554589592 -116436.37565159239, -126101.12110559225 -116424.32527350821, -129051.42632453854 -113234.66856979579, -130096.61951969723 -113659.14956802502, -130305.0171020424 -113959.30350302905, -130099.47131299357 -114390.91547908075, -130491.23052084549 -114554.05384421721, -132347.61498148515 -113816.30319163203, -134477.69472211917 -116485.38713477366, -134464.37930352913 -117685.64370310679, -134391.63351521979 -118551.12210376002, -134904.52925212661 -118473.2297906857, -135166.30158254519 -120204.00754801556, -136389.76678409075 -120151.62567420304, -136388.4491575672 -120669.79221727699, -136723.702908186 -120598.2198306378, -137462.26168384397 -121235.86889316328, -138246.55432877963 -123886.47243938595, -137814.41769155356 -124349.87618048117, -138111.90976896891 -124709.1889157407, -137717.01103753972 -125171.86507870257, -137746.03337166941 -125837.26892927289, -136456.02265980144 -126130.80296465196, -135983.7200402357 -126700.80669305287, -134835.68223759992 -126646.30335428566, -134410.77509932191 -127310.28135823645, -133554.2881305796 -127171.3615335077, -128607.13842293313 -127738.42221008241, -129523.68690678487 -129118.93796479516, -130045.53788212207 -128277.41998801753, -131112.46057477166 -128333.28192992881, -131113.2974927678 -129568.39486343786, -130300.12520986986 -129574.64848859794, -130298.0918870757 -130787.67847072147, -130009.98478972104 -130791.89723853953, -131011.61692711954 -131688.94143584929, -129986.95122496235 -132519.03247960098, -131045.0773911846 -133954.77671257779, -129347.43150644183 -134236.94658931904, -129599.55696240156 -134830.56893643737, -128798.85650765235 -135465.75567959249, -129789.54060022325 -135206.04154802486, -129698.87332738639 -135738.44564225525, -130738.56522001249 -135961.19248223491, -130729.3866157743 -136387.63323371671, -131476.75953663589 -136888.1506123133, -132198.22251936997 -138063.19209357165, -131473.23097388167 -138913.42227412388, -131570.39148655481 -139833.75286830962, -131225.81572602552 -140247.17347341776, -130395.34828379663 -140447.66070248559, -129444.51322754745 -142580.72285353951, -130343.63948522095 -143358.90816622972, -132386.94944926325 -143700.09975114651, -132187.89080201281 -144783.55391993374, -131408.77682992569 -145652.16035685316, -131089.30711056368 -146930.41640356742, -130191.08863479292 -146912.49671288766, -128907.0508994728 -148329.6094850786, -127758.7623753877 -147726.77951808833, -126337.16507776639 -148378.3762686085, -125602.92023679682 -150281.48962477595, -124676.2099920333 -150200.1560044121, -123049.82841399789 -150671.79729875922, -121964.92975541008 -150270.78738813847, -120535.84346511723 -151208.60752952285, -120488.31327773938 -151771.27222846262, -119795.63020065334 -152332.75301940739, -119848.13545141097 -153108.29609904997, -117763.40255830939 -155508.18352381885, -117862.43065645563 -155934.95794820786, -116711.32134709056 -154654.88471088372, -116504.23914578691 -155192.1489685718, -114812.74335063985 -154988.83901011758, -114382.99270730001 -155188.38992921077, -113865.5556090147 -154967.17231281288, -113775.24797196499 -154342.61000383087, -113359.44416748385 -154128.66510518827, -112158.21128313171 -154509.01297192276, -111133.40414393711 -155476.07921470888, -110618.64162590506 -154838.59618453495, -110266.10067932541 -153826.06226827763, -110908.63221342376 -152734.39848487452, -112438.26638904819 -152197.47942648456, -113018.31802567215 -152461.9637166895, -113786.73362410195 -152326.40236370638, -114147.76357627645 -151616.61965538934, -115234.22315227879 -151440.61701013334, -115724.75530161349 -150712.65924984962, -115051.87012494342 -150953.25158946216, -115433.42679588683 -149561.32091309875, -115960.36878637146 -149539.11090457626, -115864.17693374315 -149242.4282956589, -115455.73040181269 -149226.55858934484, -115874.08270208191 -148492.56685001962, -115396.41909335216 -147712.02032719553, -117072.44920039855 -145992.00931558013, -117208.20061370093 -144841.12729682773, -118211.83003893647 -143439.83420899138, -118400.57678968743 -142667.55386331864, -115441.0037745812 -143269.81073976494, -116342.67326189956 -142865.52057483792, -116032.95233068053 -142520.30494019017, -116027.65089189071 -141789.53194756992, -116724.42676966419 -141771.15953694284, -116546.038920288 -140897.380754916, -116257.97040075224 -140896.56762470491, -116226.88845265254 -138221.57706150226, -118162.46238419358 -137912.28508314118, -118348.72354486739 -135661.1849333141, -118210.49698597798 -134942.14964909665, -117338.87140983307 -135767.19845095649, -118026.68849198872 -134996.40822384879, -117765.00346490963 -134872.89554599486, -117054.20733638045 -135491.36350989528, -116838.83094831998 -134559.84128487855, -115876.74573724397 -133923.26462911256, -114273.92565690678 -134546.35264516063, -113314.36719481261 -134315.51086449251, -112631.38440422373 -134800.9539635703, -112312.04872668246 -133900.49693102762, -111559.30604702962 -133221.51905661635, -109208.58570164289 -132765.48458330519, -108948.3579880272 -132980.82226993516, -107624.84617794848 -132177.67519081384, -107277.74391398222 -129512.19914372638, -106315.63287047994 -127949.14971645735, -105031.82018202012 -127641.4189702794, -104671.41408224135 -128023.83353072777, -103844.39004421078 -128176.2196037434, -103220.16552625346 -127831.95060618781, -103056.54546647318 -128352.72297809646, -102266.05243781421 -128614.55334883556, -102629.73562926723 -127297.14492720738, -103584.41573325038 -126880.42195370421, -104053.31455448299 -125124.01847149618, -104496.43033547008 -125038.84152983129, -105390.18713054666 -123841.21228588186, -105337.27139020254 -122540.0835731905, -105747.71315142633 -121982.70570820384, -106608.70961879984 -121830.24920541607, -107510.06634194485 -122131.05748301558, -108238.8366159514 -121896.19270261191, -108699.6240203083 -122245.53571763821, -108905.83462260183 -121180.2918392159, -109434.648005403 -121026.71442926116, -109829.61091989081 -120393.18693320639, -109321.97771387755 -118828.29622573592, -108360.87292435834 -118078.35793336853, -107744.92811096126 -117031.21763828769, -108895.25447353371 -115898.92383239232, -109541.68131302147 -115728.36148381978, -110801.51431314604 -113895.93724043295, -110334.89173227648 -112551.0935048908, -109587.35387099856 -112342.41403567791, -110021.64417067723 -111235.34552553482, -109587.19707523286 -110963.98864928447, -110691.11531070858 -109412.26690834202, -110915.36814413841 -108508.32884573378, -110206.39449922496 -108729.1827134341, -109799.54471879975 -108159.9995923955, -108762.46596441198 -107862.42043785937, -108739.76402511085 -106029.16501286626, -107682.34135601342 -106172.7081398759, -107283.4367586905 -105486.24580588005, -107401.34566990958 -104711.70213748328, -108527.40403644818 -104120.42281829193, -108717.81941262721 -103505.33312920853, -109670.86196069649 -102682.45896735974, -110248.0040235804 -102797.86721020192, -110553.42604386032 -102346.97325009666, -110293.34111237497 -101915.1710997615, -109206.81239201795 -101498.12973869219, -109203.24036602203 -100627.96783383191, -108757.62705896892 -100403.40371900797, -108006.94438930407 -98612.180874105543, -108829.79416332921 -97297.366145951673, -109309.65514620999 -96722.0785983, -109711.45529344297 -94792.427116343752, -111923.77437010156 -94527.701815055683, -113573.38626657907 -91806.404128339142, -115073.09585654095 -93695.220657957718, -116010.51176729101 -93504.465937333182, -116161.62044827324 -99753.041382269934, -118076.5288887018 -98500.530930243433, -118548.65086624293 -98655.195270007476, -119355.8950142644 -98348.960467498749, -119587.3550245857 -98576.569851579145, -121938.59952266858 -97553.40750201419, -122111.01975518611 -98960.8631056156, -125348.65767150346 -98912.0166359935, -125927.20117455702 -100052.64577100426, -127704.47684566079 -98875.691216174513, -131411.94611449348 -98817.253146525472))"
-1147458636,95046,"POLYGON ((-144018.1545686282 -105223.41080286168, -143000.82962689048 -105461.31872625835, -142811.25926450675 -105883.31988651678, -141551.80108821954 -105567.74211038463, -142062.47597368094 -104250.65083607845, -141680.71847417508 -104087.65997580439, -141014.28986825564 -104661.82377054356, -141166.2794630831 -103869.95856186375, -138784.96472983356 -102863.44107428938, -137680.45195153749 -103173.18526867777, -138078.82495653909 -102576.00617483631, -137034.42422155681 -102138.05479639396, -138587.23794024042 -98676.523769157007, -137464.45365628009 -98725.297961380333, -140019.93124915808 -94952.402339736, -140574.78592363317 -94835.972219036892, -140383.65023800745 -96510.990836381912, -140815.48519255291 -96427.83933057636, -141877.00852428537 -97383.653218688443, -141440.38575227372 -98419.2474651169, -144533.30590160014 -99698.8604891561, -143885.08919744476 -100548.32882283442, -144856.71375790151 -99981.125687843189, -144262.03943543008 -100463.38549347036, -144566.54434492154 -100729.30985818803, -144337.48766900779 -101037.63429737464, -143496.69193855359 -101206.4350862857, -144637.97074182745 -101512.40794129483, -144683.44525088268 -101885.3894000873, -146000.10660626958 -101658.31090246327, -146765.56580597055 -102254.77991991863, -147155.01710387538 -103414.96328625828, -146459.28202717981 -103756.05979263224, -146218.72505691912 -104436.06095668115, -145891.8544294982 -104161.02223073132, -145424.88056866766 -104610.90258001536, -144476.61921032841 -104545.74297421053, -144018.1545686282 -105223.41080286168))"
-1147458635,94583,"POLYGON ((-176343.9122745675 -25459.651597985998, -175742.14016972552 -26288.946517810225, -176904.66370121739 -27165.018381689675, -177010.78867196644 -28018.831489064731, -175125.14086076527 -29593.073763125576, -173597.00281618536 -30192.085353193805, -172590.19048416195 -31313.647043363191, -168747.54082605627 -30244.104027726687, -168964.93564162205 -29476.722576235421, -170765.9561587022 -26949.172574370168, -172025.3934091393 -25685.517522381619, -172162.6587618815 -24748.351202922873, -172770.05083216523 -24323.603131567128, -173466.50937302547 -23996.80607278645, -173248.82353918839 -24206.146174921654, -173868.99976932417 -24478.995986996219, -174179.05917581407 -23714.312302238308, -175791.30413299141 -23713.049574963748, -175751.74377846121 -22921.532999276184, -177033.43404849304 -22057.246927088127, -177249.27163160557 -21441.326155891642, -177476.0464834063 -21679.232297267765, -177670.58259750967 -21361.41455675289, -178098.91918127818 -21804.046014103107, -178715.47610521963 -21694.8890346447, -179125.77333395748 -21049.281290034764, -180200.92601758847 -20287.782014580444, -178477.74481025434 -22281.852762409486, -176027.558586868 -23907.541966969147, -175603.94582498373 -25192.286210973747, -176134.16885489292 -25131.399717056192, -176343.9122745675 -25459.651597985998))"
-1147458634,95687,"POLYGON ((-168891.39155718341 33397.318346127868, -168879.82725437623 34199.740501288325, -167282.77602051012 34137.072368980385, -167288.15072034884 30908.655758273788, -167296.40455175054 30275.0575202303, -165676.13615613611 31684.464095195755, -162510.52959852957 31584.266426415183, -162539.4108160185 30001.21776368469, -161562.56073661882 29621.753869906068, -160984.91591126428 29915.154536086135, -160933.31017920841 30699.897225447, -160781.23884688105 34772.53447402548, -162060.00745193358 34806.4766401127, -162267.56122493415 36409.158295552246, -161606.23548402698 36399.665286559612, -163179.15920901202 36463.550270298496, -163158.11449694491 37256.328526003286, -165600.86167999252 37319.304363259114, -165527.7944148923 40386.11123386398, -166346.17549882678 39258.874879084527, -166569.64771611145 38396.679614242166, -167986.35147054508 39156.812937350944, -167977.08003398875 39751.02427772712, -167172.15752039032 39758.291343758814, -167339.88304753875 40568.000093149021, -165525.64960486681 40541.282628213055, -164299.19575480832 42109.884906401858, -164669.12641511706 42127.582195773721, -164660.68068164593 42617.51538774278, -163842.11678928969 42619.047455236316, -163371.92994993742 43361.683641420677, -162431.62826823816 43199.288384228013, -162398.41568363085 44530.394144395366, -163171.21961833924 45621.86733125709, -163058.91349874984 45318.677460158244, -164566.45412912511 45391.576652904972, -164744.77179309895 46227.117952127941, -165112.375635136 46417.572273155674, -165421.92026907604 46130.568497070111, -172782.61876961641 39255.920932298526, -175736.66356475739 37852.013641894795, -176705.62724654659 36204.596407366917, -175503.48288610441 36083.173175767064, -175502.89358384348 34541.420295731165, -175285.40765212523 35117.77245687414, -174976.63566122163 34712.740289242007, -174156.19485162749 34656.300565115176, -173668.40460431893 34948.595441590063, -171536.91422371232 35033.906777963042, -171707.11064153854 33612.455260811374, -171502.94591909728 34084.773484272882, -171357.01634687197 33474.889893670566, -172022.60349628495 32883.608300503343, -172053.79006151389 31861.994374015369, -171000.24553154298 32340.182559945621, -170227.95333282958 33495.406226726249, -168891.39155718341 33397.318346127868))"
